workout_id,workout_date,workout_type,distance,entry_date,entry_time
170,08/10/2015,Run,7,05/12/2017,23:00:00
171,09/10/2015,Run,10,05/12/2017,23:00:00
172,10/10/2015,Run,10,05/12/2017,23:00:00
173,11/10/2015,Gym,1,05/12/2017,23:00:00
174,13/10/2015,Gym,1,05/12/2017,23:00:00
175,14/10/2015,Gym,1,05/12/2017,23:00:00
176,16/10/2015,Run,7,05/12/2017,23:00:00
177,17/10/2015,Gym,1,05/12/2017,23:00:00
178,20/10/2015,Run,7,05/12/2017,23:00:00
179,21/10/2015,Gym,1,05/12/2017,23:00:00
180,23/10/2015,Run,7,05/12/2017,23:00:00
181,24/10/2015,Gym,1,05/12/2017,23:00:00
182,26/10/2015,Run,7,05/12/2017,23:00:00
183,28/10/2015,Run,7,05/12/2017,23:00:00
184,30/10/2015,Gym,1,05/12/2017,23:00:00
185,31/10/2015,Run,7,05/12/2017,23:00:00
186,31/10/2015,Yoga,1,05/12/2017,23:00:00
187,01/11/2015,Run,11,05/12/2017,23:00:00
188,04/11/2015,Run,8,05/12/2017,23:00:00
189,06/11/2015,Run,11,05/12/2017,23:00:00
190,09/11/2015,Run,11,05/12/2017,23:00:00
191,10/11/2015,Run,8,05/12/2017,23:00:00
192,13/11/2015,Gym,1,05/12/2017,23:00:00
193,14/11/2015,Yoga,1,05/12/2017,23:00:00
194,15/11/2015,Run,11,05/12/2017,23:00:00
195,20/11/2015,Run,11,05/12/2017,23:00:00
196,21/11/2015,Gym,1,05/12/2017,23:00:00
197,22/11/2015,Run,8,05/12/2017,23:00:00
198,25/11/2015,Run,11,05/12/2017,23:00:00
199,28/11/2015,Cycle,40,05/12/2017,23:00:00
200,29/11/2015,Run,10,05/12/2017,23:00:00
201,30/11/2015,Run,11,05/12/2017,23:00:00
202,04/12/2015,Gym,1,05/12/2017,23:00:00
203,05/12/2015,Run,11,05/12/2017,23:00:00
204,06/12/2015,Run,11,05/12/2017,23:00:00
205,06/12/2015,Yoga,1,05/12/2017,23:00:00
206,08/12/2015,Run,8,05/12/2017,23:00:00
207,11/12/2015,Yoga,1,05/12/2017,23:00:00
208,12/12/2015,Run,7,05/12/2017,23:00:00
209,14/12/2015,Run,11,05/12/2017,23:00:00
210,17/12/2015,Run,7,05/12/2017,23:00:00
211,19/12/2015,Run,8,05/12/2017,23:00:00
212,22/12/2015,Run,12,05/12/2017,23:00:00
213,23/12/2015,Run,12,05/12/2017,23:00:00
214,24/12/2015,Run,12,05/12/2017,23:00:00
215,25/12/2015,Run,6,05/12/2017,23:00:00
216,26/12/2015,Run,12,05/12/2017,23:00:00
217,02/01/2016,Run,11,05/12/2017,23:00:00
218,02/01/2016,Run,11,05/12/2017,23:00:00
219,03/01/2016,Gym,1,05/12/2017,23:00:00
220,03/01/2016,Yoga,1,05/12/2017,23:00:00
221,04/01/2016,Yoga,1,05/12/2017,23:00:00
222,05/01/2016,Run,7,05/12/2017,23:00:00
223,06/01/2016,Yoga,1,05/12/2017,23:00:00
224,07/01/2016,Run,7,05/12/2017,23:00:00
225,08/01/2016,Gym,1,05/12/2017,23:00:00
226,09/01/2016,Run,7,05/12/2017,23:00:00
227,10/01/2016,Run,10,05/12/2017,23:00:00
228,10/01/2016,Swim,1.5,05/12/2017,23:00:00
229,11/01/2016,Swim,1.5,05/12/2017,23:00:00
230,12/01/2016,Run,7,05/12/2017,23:00:00
231,13/01/2016,Yoga,1,05/12/2017,23:00:00
232,15/01/2016,Run,6,05/12/2017,23:00:00
233,16/01/2016,Run,11,05/12/2017,23:00:00
234,17/01/2016,Swim,2,05/12/2017,23:00:00
235,18/01/2016,Swim ,2,05/12/2017,23:00:00
236,20/01/2016,Swim,2,05/12/2017,23:00:00
237,22/01/2016,Run,10,05/12/2017,23:00:00
238,23/01/2016,Swim,2.2,05/12/2017,23:00:00
239,24/01/2016,Swim,0.8,05/12/2017,23:00:00
240,25/01/2016,Swim,2,05/12/2017,23:00:00
241,29/01/2016,Run,7,05/12/2017,23:00:00
242,30/01/2016,Swim,2,05/12/2017,23:00:00
243,31/01/2016,Swim,2,05/12/2017,23:00:00
244,03/02/2016,Swim,2,05/12/2017,23:00:00
245,05/02/2016,Swim,1,05/12/2017,23:00:00
246,06/02/2016,Run,10,05/12/2017,23:00:00
247,06/02/2016,Swim,2,05/12/2017,23:00:00
248,07/02/2016,Run,10,05/12/2017,23:00:00
249,10/02/2016,Run,7,05/12/2017,23:00:00
250,11/02/2016,Gym,1,05/12/2017,23:00:00
251,12/02/2016,Run,10,05/12/2017,23:00:00
252,13/02/2016,Swim,2,05/12/2017,23:00:00
253,14/02/2016,Run,8,05/12/2017,23:00:00
254,17/02/2016,Run,7,05/12/2017,23:00:00
255,19/02/2016,Swim,1,05/12/2017,23:00:00
256,27/02/2016,Run,10,05/12/2017,23:00:00
257,28/02/2016,Swim,2,05/12/2017,23:00:00
258,02/03/2016,Run,5,05/12/2017,23:00:00
259,04/03/2016,Swim,2,05/12/2017,23:00:00
260,05/03/2016,Run,10,05/12/2017,23:00:00
261,06/03/2016,Swim,2,05/12/2017,23:00:00
262,09/03/2016,Run,6,05/12/2017,23:00:00
263,10/03/2016,Swim,1,05/12/2017,23:00:00
264,12/03/2016,Swim,2,05/12/2017,23:00:00
265,13/03/2016,Swim,2,05/12/2017,23:00:00
266,15/03/2016,Swim,1,05/12/2017,23:00:00
267,16/03/2016,Swim,2,05/12/2017,23:00:00
268,17/03/2016,Run,6,05/12/2017,23:00:00
269,18/03/2016,Swim,2,05/12/2017,23:00:00
270,19/03/2016,Run,16,05/12/2017,23:00:00
271,20/03/2016,Swim,1,05/12/2017,23:00:00
272,24/03/2016,Gym,1,05/12/2017,23:00:00
273,25/03/2016,Run,10,05/12/2017,23:00:00
274,27/03/2016,Run,7,05/12/2017,23:00:00
275,28/03/2016,Hike,1,05/12/2017,23:00:00
276,31/03/2016,Run,7,05/12/2017,23:00:00
277,01/04/2016,Swim,1,05/12/2017,23:00:00
278,02/04/2016,Run,16,05/12/2017,23:00:00
279,04/04/2016,Run,11,05/12/2017,23:00:00
280,05/04/2016,Run,11,05/12/2017,23:00:00
281,07/04/2016,Run,4,05/12/2017,23:00:00
282,08/04/2016,Swim,2,05/12/2017,23:00:00
283,09/04/2016,Hike,1,05/12/2017,23:00:00
284,10/04/2016,Run,21,05/12/2017,23:00:00
285,10/04/2016,Swim,2,05/12/2017,23:00:00
286,13/04/2016,Cycle,25,05/12/2017,23:00:00
287,14/04/2016,Cycle,25,05/12/2017,23:00:00
288,15/04/2016,Swim,2,05/12/2017,23:00:00
289,16/04/2016,Cycle,75,05/12/2017,23:00:00
290,16/04/2016,Run,10,05/12/2017,23:00:00
291,17/04/2016,Swim,2,05/12/2017,23:00:00
292,20/04/2016,Cycle,45,05/12/2017,23:00:00
293,22/04/2016,Run,10,05/12/2017,23:00:00
294,24/04/2016,Cycle,50,05/12/2017,23:00:00
295,24/04/2016,Run,21,05/12/2017,23:00:00
296,28/04/2016,Run,9,05/12/2017,23:00:00
297,29/04/2016,Swim,2,05/12/2017,23:00:00
298,30/04/2016,Run,12,05/12/2017,23:00:00
299,01/05/2016,Swim,2,05/12/2017,23:00:00
300,02/05/2016,Cycle,55,05/12/2017,23:00:00
301,06/05/2016,Run,7,05/12/2017,23:00:00
302,07/05/2016,Cycle,40,05/12/2017,23:00:00
303,08/05/2016,Run,10,05/12/2017,23:00:00
304,08/05/2016,Swim,1.5,05/12/2017,23:00:00
305,12/05/2016,Swim,1.5,05/12/2017,23:00:00
306,13/05/2016,Run,11,05/12/2017,23:00:00
307,14/05/2016,Run,8,05/12/2017,23:00:00
308,21/05/2016,Cycle,100,05/12/2017,23:00:00
309,22/05/2016,Run,21,05/12/2017,23:00:00
310,22/05/2016,Swim,2,05/12/2017,23:00:00
311,26/05/2016,Run,10,05/12/2017,23:00:00
312,27/05/2016,Gym,1,05/12/2017,23:00:00
313,29/05/2016,Hike,1,05/12/2017,23:00:00
314,01/06/2016,Swim,1.5,05/12/2017,23:00:00
315,03/06/2016,Run,10,05/12/2017,23:00:00
316,06/06/2016,Run,7,05/12/2017,23:00:00
317,07/06/2016,Run,4,05/12/2017,23:00:00
318,08/06/2016,Swim,1,05/12/2017,23:00:00
319,09/06/2016,Gym,1,05/12/2017,23:00:00
320,10/06/2016,Run,7,05/12/2017,23:00:00
321,11/06/2016,Run,4,05/12/2017,23:00:00
322,12/06/2016,Run,10,05/12/2017,23:00:00
